sk_id,cs_id,hu_id
9953,9888,8227
11147,8499,3854
11149,9887,3691
11148,9886,3936
17750,17591,63139
25015,19762,72814
11150,8485,3868
11151,8484,3869
11157,7225,3880
9826,7180,3724
11152,9883,8098
11153,9881,3871
10829,9880,3710
11107,9879,3882
11154,9874,3997
11155,9869,8862
17751,17592,63138
25014,19761,72816
11156,9868,8742
11158,9832,6570
3220,7507,8768
3223,6461,4688
11159,7224,8767
11160,9833,4509
11161,9831,3903
3687,9830,8863
11162,9829,8864
11163,9828,8865
17752,17593,63137
25013,19760,72817
11164,9827,4481
11165,8874,8458
10341,8956,8806
11166,9826,8866
11167,7643,8867
11168,9825,3850
9683,8156,3998
11169,9824,8868
11170,9823,8869
11171,9821,4498
17753,17594,63136
25012,19759,72818
11172,8922,8630
4465,7629,8631
11173,8954,8632
11174,9811,3993
9682,7722,8633
10664,8546,8634
11176,9812,8635
11177,9820,8859
8880,9822,8860
11178,7220,8861
17754,17595,63135
25011,19758,72819
8469,8953,8402
11179,9783,3973
11180,9782,7091
9645,7664,8628
11181,8500,4491
11182,9769,8627
11183,5980,8050
11184,5979,4499
3197,5978,8048
11185,5977,8049
17755,17596,63134
25010,19757,72820
11186,5976,8615
11187,5975,4575
11188,5974,8593
11189,5973,8594
11190,5972,8595
9962,5971,8616
11192,5970,8617
11193,5969,8665
3788,5968,8666
4463,5967,8338
17756,17597,63133
25009,19756,72821
10254,5966,8337
10083,5965,8336
9842,5964,8333
11195,5963,8332
11196,5962,4504
8812,5960,8331
4276,5959,8330
11197,5958,8329
10404,5957,8328
10043,5956,4581
17757,17598,63132
25008,19755,72822
11199,5955,8327
3184,5934,8226
8865,5933,8225
11109,5761,8224
3221,5932,8223
11200,5931,4587
11201,5930,8324
3893,3718,8325
3895,5929,8326
3896,5928,4510
17758,17599,63131
25007,19754,72823
3225,5927,8614
3897,5926,1154
3898,5925,8215
9834,5876,8216
4466,5924,8217
3313,5923,8218
9647,5922,8219
11209,5921,8220
11210,5920,8565
10342,5919,8221
48802,287473,237359
17604,9101,64000
25160,19946,42201
2920,2634,5743
3160,1990,4357
10987,396464,200953
4416,2686,2460
4977,1289,5165
9685,2869,6959
169103,518960,1841552
3376,2894,6450
9912,2768,4308
3314,1311,3201
65376,142150,75390
5049,2814,6001
8036,2133,3752
9418,2715,4914
14021,2742,4552
10133,2841,3584
3176,17600,63130
25006,19749,72824
11212,5918,8564
8969,5917,7065
8968,5916,3466
8967,5915,3212
8964,5914,8195
8962,5913,8213
8959,5912,8214
8958,5911,4582
8955,5910,4578
8888,5909,7635
17759,17601,63129
25005,19747,72825
9079,5908,7060
9093,1425,8450
9140,5907,8451
3794,5906,8452
9142,5905,8453
5576,5904,8454
3914,5903,8455
3925,5902,8277
3182,5901,8456
4111,5900,8457
17760,17602,63128
25004,17282,72826
4454,5899,8462
9222,5898,8276
9474,5897,7774
3199,5896,4810
9476,5895,8463
9552,5894,8464
9836,5893,8186
9838,5892,8128
9839,5891,8185
9841,5890,8184
17761,17603,63127
25003,19746,72827
9843,5816,4817
4492,5815,8183
3186,5814,8182
9847,5813,8181
3799,5812,8180
9856,5811,8179
8814,5810,8178
9857,5809,5394
9865,5808,8170
9867,5807,4807
17762,17604,63126
25002,19744,72828
8808,5806,4840
10361,1676093,16266
9961,5805,8169
9963,5804,4859
9967,5803,8168
8863,5802,3847
3559,5801,8165
5225,5800,8166
8856,5799,8167
4483,5798,7608
3168,5797,7609
17763,17605,63125
25001,19743,72829
3889,5796,8563
10042,3389,8155
8837,5795,8154
10044,5794,7058
5026,5793,8156
